Id;Marker;X;Y
0;1;0.0000000000000000e+00;0.0000000000000000e+00
1;2;1.0000000000000000e+00;0.0000000000000000e+00
2;3;1.0000000000000000e+00;1.0000000000000000e+00
3;4;0.0000000000000000e+00;1.0000000000000000e+00
4;0;5.0000000000000000e-01;5.0000000000000000e-01
5;8;0.0000000000000000e+00;5.0000000000000000e-01
6;5;5.0000000000000000e-01;0.0000000000000000e+00
7;6;1.0000000000000000e+00;5.0000000000000000e-01
8;7;5.0000000000000000e-01;1.0000000000000000e+00
9;0;7.5000000000000000e-01;2.5000000000000000e-01
10;0;2.5000000000000000e-01;7.5000000000000000e-01
11;0;7.5000000000000000e-01;7.5000000000000000e-01
12;0;5.0000000000000000e-01;2.5000000000000000e-01
13;0;2.5000000000000000e-01;3.7500000000000000e-01
14;0;3.1250000000000000e-01;5.6250000000000000e-01
15;8;0.0000000000000000e+00;2.5000000000000000e-01
16;5;7.5000000000000000e-01;0.0000000000000000e+00
17;6;1.0000000000000000e+00;2.5000000000000000e-01
18;0;7.5000000000000000e-01;5.0000000000000000e-01
19;0;5.0000000000000000e-01;7.5000000000000000e-01
20;7;2.5000000000000000e-01;1.0000000000000000e+00
21;8;0.0000000000000000e+00;7.5000000000000000e-01
22;6;1.0000000000000000e+00;7.5000000000000000e-01
23;7;7.5000000000000000e-01;1.0000000000000000e+00
24;5;2.5000000000000000e-01;0.0000000000000000e+00
25;0;3.1250000000000000e-01;1.8750000000000000e-01
26;8;0.0000000000000000e+00;1.9685262426734648e-01
27;0;2.8853109480715372e-02;2.2114689051928463e-01
28;0;4.5222872889238820e-03;2.0066038202525135e-01
29;0;5.1005247153225637e-02;2.3979895056935485e-01
30;0;1.5540250126154723e-01;3.2770125063077360e-01
31;0;2.2589253524728004e-01;3.8705373237635987e-01
32;0;2.6499172721319392e-01;4.1997518163958159e-01
33;0;3.9972895222232935e-01;5.3342368259255679e-01
34;0;5.0000000000000000e-01;6.1785172435005631e-01
35;0;6.5694603102949822e-01;7.4999999999999989e-01
36;0;5.5805298898278410e-01;6.6673223658778347e-01
37;0;2.8445271772283992e-01;2.7164184683148024e-01
38;0;3.9824525254123622e-01;3.0087737372938189e-01
39;0;3.2534819064910903e-01;2.8214869335393827e-01
40;0;5.0000000000000000e-01;3.2702015770960963e-01
41;0;6.3762204766330133e-01;3.6237795233669878e-01
42;0;7.5000000000000000e-01;3.9125004533923136e-01
43;0;9.4008715064134607e-01;4.4008715064134585e-01
