Id;Marker;Origin;End
0;0;18;11
1;0;25;6
2;0;12;25
3;0;10;19
4;0;14;5
5;0;6;9
6;6;17;7
7;0;9;17
8;5;16;1
9;0;1;9
10;0;9;16
11;8;21;5
12;0;5;10
13;0;10;21
14;7;20;3
15;0;3;10
16;0;10;20
17;7;23;8
18;0;4;13
19;5;0;24
20;0;19;14
21;0;14;10
22;5;6;16
23;6;1;17
24;7;8;20
25;8;3;21
26;6;7;22
27;0;24;25
28;5;24;6
29;8;15;26
30;8;26;0
31;0;24;27
32;0;27;15
33;0;26;28
34;0;28;27
35;0;27;29
36;0;29;15
37;0;25;29
38;0;29;30
39;0;30;15
40;0;13;30
41;0;31;5
42;0;13;31
43;0;31;32
44;0;32;14
45;0;13;32
46;0;32;33
47;0;33;14
48;0;4;33
49;0;33;34
50;0;34;19
51;0;4;34
52;0;34;36
53;0;13;37
54;0;37;25
55;0;12;38
56;0;38;13
57;0;37;39
58;0;39;38
59;0;38;40
60;0;40;4
61;0;12;40
62;0;40;41
63;0;41;4
64;0;42;18
65;0;43;7
66;0;42;44
67;0;44;45
68;0;45;43
69;0;11;47
70;0;48;47
71;0;47;49
72;0;49;35
73;0;11;49
74;0;49;50
75;0;11;50
76;0;50;51
77;0;51;23
78;0;11;51
79;7;52;23
80;0;51;53
81;0;53;52
82;0;54;7
83;0;7;55
84;0;55;11
85;0;54;56
86;0;56;55
87;0;55;57
88;0;57;11
89;0;22;57
90;0;57;58
91;0;58;11
92;7;59;52
93;7;2;59
94;0;58;60
95;0;50;61
96;0;61;8
97;0;62;35
98;0;61;63
99;0;63;62
100;0;62;64
101;0;64;35
102;0;64;65
103;0;65;47
104;0;66;46
105;0;4;66
106;0;65;67
107;0;67;66
108;0;68;42
109;0;41;68
110;0;66;69
111;0;69;68
112;0;70;6
113;0;71;12
114;0;70;72
115;0;72;73
116;0;73;71
117;0;71;74
118;0;74;41
119;0;74;75
120;0;75;42
121;0;75;44
122;0;76;18
123;0;54;76
124;0;44;77
125;0;77;76
126;6;22;78
127;6;78;2
128;0;2;79
129;0;79;58
130;0;78;80
131;0;80;79
132;0;81;60
133;0;59;81
134;0;79;82
135;0;82;81
136;0;8;83
137;0;83;10
138;0;19;84
139;0;84;8
140;0;83;85
141;0;85;84
142;0;84;86
143;0;86;62
144;0;19;86
145;0;86;87
146;0;87;64
147;0;36;87
148;0;87;88
149;0;88;65
150;0;4;88
151;0;88;67
152;0;67;89
153;0;89;48
154;0;46;89
155;0;90;18
156;0;46;90
157;0;89;91
158;0;91;90
159;8;5;92
160;8;92;15
161;0;30;93
162;0;93;31
163;0;92;94
164;0;94;95
165;0;95;93
166;0;12;96
167;0;96;70
168;0;96;97
169;0;97;73
170;0;73;98
171;0;98;71
172;0;9;98
173;0;98;99
174;0;99;74
175;0;9;99
176;0;99;100
177;0;100;75
178;0;9;100
179;0;101;43
180;0;9;101
181;0;100;102
182;0;102;101
